"product ID";name;currency;price;description;productURL;imageURL;categories;EAN;deliveryTime;deliveryCosts;brand;stock;fromPrice;categoryPath;subcategories;subsubcategories;campaignID
164610;"71448 Playmobil Gift Set Dieren Voeren";EUR;16.99;"Ga op avontuur met de 71448 Playmobil Gift Set Dieren Voeren, speciaal om 50 jaar Playmobil te vieren! Help de dierenverzorger om de zeehonden in het park te voeren en te verzorgen. Deze set bevat alles wat je nodig hebt voor een leuke en...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fcity-life%2F71448-playmobil-gift-set-dieren-voeren%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1448/groot/71448-playmobil-gift-set-dieren-voeren.jpg;Playmobil;4008789714480;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;;"Playmobil>City Life";"City Life";;3055
165600;"Playmobil 71330 City Life Virtueel Klaslokaal";EUR;21.99;"Het Playmobil 71330 City Life Virtueel Klaslokaal biedt kinderen een dynamische leeromgeving vol digitale avonturen. Dankzij de werkende projector kunnen indrukwekkende beelden direct op het scherm worden geprojecteerd, wat zorgt voor een...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fcity-life%2Fplaymobil-71330-city-life-virtueel-klaslokaal%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1330/groot/playmobil-71330-city-life-virtueel-klaslokaal.jpg;Playmobil;4008789713308;"Voor 17:00 uur besteld, morgen in huis";5.49;Playmobil;J;;"Playmobil>City Life";"City Life";;3055
161941;"71162 Playmobil Politieagent Met Speurhond";EUR;5.99;"Politiefans opgelet! De 71162 Playmobil Politieagent Met Speurhond set is perfect voor kleine politiefans die van avontuur houden en graag spannende verhalen creëren. De set bevat een gedetailleerde politieagent-figuur en zijn getrainde...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fcity-life%2F71162-playmobil-politieagent-met-speurhond%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1162/groot/71162-playmobil-politieagent-met-speurhond.jpg;Playmobil;4008789711625;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;;"Playmobil>City Life";"City Life";;3055
161992;"71244 Playmobil City Reddingsteam";EUR;13.99;"Sluit je aan bij het geweldige 71244 Playmobil City Reddingsteam. Met deze spannende speelset kun je je eigen reddingsmissies beleven. Word een echte held en help mensen in nood! Het reddingsteam bevat coole figuren met speciale uitrusting, zoals...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fcity-life%2F71244-playmobil-city-reddingsteam%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1244/groot/71244-playmobil-city-reddingsteam.jpg;Playmobil;4008789712448;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;;"Playmobil>City Life";"City Life";;3055
100614;"5489 Playmobil Styliste met Verlichte Etalage";EUR;7.49;"Richt alle etalages in van het grote Winkelcentrum! De Styliste laat haar creativiteit gelden en maakt de meest smaakvolle etalages. Met een fraaie etalage lokken de winkels in het Winkelcentrum klanten naar hen toe. Ieder seizoen maakt de...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fcity-life%2F5489-playmobil-styliste-met-verlichte-etalage%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-5489/groot/5489-playmobil-styliste-met-verlichte-etalage.jpg;Playmobil;4008789054890;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;19.99;"Playmobil>City Life";"City Life";;3055
164954;"Playmobil 71232 Ambulance Promo";EUR;31.99;"Breng avontuur naar de speelkamer met de Playmobil 71232 Ambulance Promo! Deze gedetailleerde en interactieve set biedt eindeloze uren speelplezier voor jonge hulpverleners in de dop. Ontdek de spannende wereld van noodhulp en beleef talloze...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fcity-action%2Fplaymobil-71232-ambulance-promo%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1232/groot/playmobil-71232-ambulance-promo.jpg;Playmobil;4008789712325;"Voor 17:00 uur besteld, morgen in huis";5.49;Playmobil;J;;"Playmobil>City Action";"City Action";;3055
163493;"Playmobil Wiltopia 71287 alligator";EUR;10.99;"Stap in de betoverende wereld van Playmobil Wiltopia 71287 alligator. Deze set voegt een vleugje jungle toe aan je speelavonturen met deze stoere alligator. De Playmobil Alligator is een uniek en vriendelijk dier dat deel uitmaakt van de...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fwiltopia%2Fplaymobil-wiltopia-71287-alligator%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1287/groot/playmobil-wiltopia-71287-alligator.jpg;Playmobil;4008789712875;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;;Playmobil>Wiltopia;Wiltopia;;3055
163494;"Playmobil Wiltopia 71292 Koala met welp";EUR;5.99;"Welkom in de magische wereld van Playmobil Wiltopia met Playmobil Wiltopia 71292 Koala met welp. Deze set brengt de liefde tussen een koala en haar welp tot leven. Laat je verbeelding de vrije loop terwijl je de koala's avonturen laat beleven in hun...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fwiltopia%2Fplaymobil-wiltopia-71292-koala-met-welp%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1292/groot/playmobile-wiltopia-71292-koala-met-welp.jpg;Playmobil;4008789712929;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;;Playmobil>Wiltopia;Wiltopia;;3055
165598;"71308 Playmobil Country Kippenhok";EUR;16.99;"Het Playmobil Country Kippenhok 71308 biedt eindeloos speelplezier voor kinderen die van dieren en het buitenleven houden. Deze gedetailleerde speelset bevat alles wat je nodig hebt om een levendig kippenhok te creëren, inclusief schattige...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fcountry%2F71308-playmobil-country-kippenhok%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1308/groot/71308-playmobil-country-kippenhok.jpg;Playmobil;4008789713087;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;;Playmobil>Country;Country;;3055
165851;"Playmobil 71479 Special Plus Banketbakker";EUR;5.99;"Playmobil 71479 Special Plus Banketbakker biedt eindeloos speelplezier voor jonge banketbakkers in spe. Deze set bevat een banketbakkerfiguur compleet met schort, een werkblad en verschillende accessoires en keukengerei. Je kan je creativiteit de...";https://www.degrotespeelgoedwinkel.nl/tradetracker/?tt=3055_252262_411347_&r=https%3A%2F%2Fwww.degrotespeelgoedwinkel.nl%2Fplaymobil%2Fdiversen%2Fplaymobil-71479-special-plus-banketbakker%2F%3Futm_source%3Dtradetracker%26utm_medium%3Daffiliate%26utm_campaign%3Dtradetracker;https://www.degrotespeelgoedwinkel.nl/producten/01-437-1479/groot/playmobil-71479-special-plus-banketbakker.jpg;Playmobil;4008789714794;"Voor 17:00 uur besteld, morgen in huis";6.95;Playmobil;J;;Playmobil>Diversen;Diversen;;3055
