"SKU","Name","Description","Category","Price","Shipping","Currency","Instock","ProductUrl","ImageUrl","TrackingUrl","Brand","OriginalPrice","Ean","ManufacturerArticleNumber","Extras"
"95f1c9d1-3341-47d3-b7ed-7bba425754e5","<![CDATA[Crooks (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.New York, 1935 – You are a cunning top criminal with a plan that just can't fail. You need only a number of thieves and other scum to put these plans into practice. Fortunately, the city is packed with unemployed rogues who linger in bars, at pool halls and by the race course waiting for a chance to make easy money. Gather the best thieves and rob various locations in the city so as to go home with the most money at the end of the day.In Crooks you assume the role of a mafia boss and want to use your thieves tactically to increase your earnings or to thwart others. To do this you must:    Look for the best thieves: Visit hangouts in the city and choose from the thieves available, taking into account that whomever you don't choose will work for your opponents!    Balance tactics and bluffing: The choice is yours ... thwart others or immediately carry out your own plans?    Use your cards wisely: Some thieves can also perform special actions, which increase your chances of winning.The second edition of Crooks features a cardboard box (instead of a tin), updated cards (with some crooks having new ranks), the removal of the Kingpin, a changed pickpocket rule, and a new type of card: the Support Crew, which affects the rank of the cards on its left or right.AlgemeenAantal spelers: 2-4Speelduur: 15 min.Leeftijd: 10+Taal:  NederlandsSoort spelType/Thema: Card Game, MafiaMechanisme: Hand ManagementMakersOntwerper: Neil Crowley]]>","boardgames","12.95","6","EUR","no","https://www.spelspul.nl/nl/42-crooks.html?gmc_currency=1","https://www.spelspul.nl/30832-home_default/crooks.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/42-crooks.html?gmc_currency=1","<![CDATA[White Goblin Games]]","12.95","8718026300463","WGG1201-uitloop","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#322.000000}"
"4bb35b51-ea75-486a-91fb-88490817a8d3","<![CDATA[De Vergeten Stad (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.Game description from the publisher:Gear up for a thrilling adventure to recover a legendary flying machine buried deep in the ruins of an ancient desert city. You'll need to coordinate with your teammates and use every available resource if you hope to survive the scorching heat and relentless sandstorm. Find the flying machine and escape before you all become permanent artifacts of the forbidden desert!In Forbidden Desert, a thematic sequel to Forbidden Island, players take on the roles of brave adventurers who must throw caution to the wind and survive both blistering heat and blustering sand in order to recover a legendary flying machine buried under an ancient desert city. While featuring cooperative gameplay similar to Forbidden Island, Forbidden Desert is a fresh, new game based around an innovative set of mechanisms such as an ever-shifting board, individual resource management, and a unique method for locating the flying machine parts.AlgemeenAantal spelers: 2-5Speelduur: 45 min.Leeftijd: 10+Taal:  NederlandsSoort spelType/Thema: Adventure, Fantasy, Science FictionMechanisme: Action Points, Bias, Cooperative Game, Grid Movement, Hand Management, Map Reduction, Modular Board, Pick-up and Deliver, Set Collection, Solo / Solitaire Game, Square Grid, Variable Player PowersMakersOntwerper: Matt Leacock]]>","boardgames","27.95","6","EUR","yes","https://www.spelspul.nl/nl/45-de-vergeten-stad.html?gmc_currency=1","https://www.spelspul.nl/15640-home_default/de-vergeten-stad.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/45-de-vergeten-stad.html?gmc_currency=1","<![CDATA[White Goblin Games]]","27.95","8718023601181","WGG1326","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#770.000000}"
"98ce4150-c8bf-4030-8467-47a27a87f613","<![CDATA[Gubs (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.GUBS: A Game of Wit and Luck invites you to partake in the secret struggle of the Gubs. Each player competes to build the largest, strongest colony by the time the three dreaded Letter Cards emerge from the deck and end the game. Their world is a place filled with danger; from giant Omen Beetles who consume the delicate Gub Cities to Flash Floods to deadly Wasps, your gubs hardly stand a chance on their own... but arm them with Spears, let ride the valiant Toad Riders, build Mushroom Barricades and lead your colony through the forest underbrush and to victory.Wit and Luck. You'll need them both. The gubs are counting on you.AlgemeenAantal spelers: 2-6Speelduur: 20 min.Leeftijd: 10+Taal:  NederlandsSoort spelType/Thema: Card Game, Fantasy, Party GameMechanisme: Hand Management, Set Collection, Take ThatMakersOntwerper: Alex Medeiros, Cole Medeiros]]>","boardgames","12.95","6","EUR","no","https://www.spelspul.nl/nl/53-gubs.html?gmc_currency=1","https://www.spelspul.nl/15649-home_default/gubs.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/53-gubs.html?gmc_currency=1","<![CDATA[White Goblin Games]]","12.95","8718026300524","WGG1203","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#239.000000}"
"3e85a2de-3e01-46a6-a8f9-c7c9ea2f49c9","<![CDATA[Gubs (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.GUBS: A Game of Wit and Luck invites you to partake in the secret struggle of the Gubs. Each player competes to build the largest, strongest colony by the time the three dreaded Letter Cards emerge from the deck and end the game. Their world is a place filled with danger; from giant Omen Beetles who consume the delicate Gub Cities to Flash Floods to deadly Wasps, your gubs hardly stand a chance on their own... but arm them with Spears, let ride the valiant Toad Riders, build Mushroom Barricades and lead your colony through the forest underbrush and to victory.Wit and Luck. You'll need them both. The gubs are counting on you.AlgemeenAantal spelers: 2-6Speelduur: 20 min.Leeftijd: 10+Taal:  NederlandsSoort spelType/Thema: Card Game, Fantasy, Party GameMechanisme: Hand Management, Set Collection, Take ThatMakersOntwerper: Alex Medeiros, Cole Medeiros]]>","boardgames","12.95","6","EUR","no","https://www.spelspul.nl/nl/53-gubs.html?gmc_currency=1","https://www.spelspul.nl/28760-home_default/gubs.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/53-gubs.html?gmc_currency=1","<![CDATA[White Goblin Games]]","12.95","8718026300524","WGG1203","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#239.000000}"
"90c5e030-e8d3-4a41-a0c1-c47ac8a2b7e8","<![CDATA[Het Verboden Eiland (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.Forbidden Island is a visually stunning cooperative board game. Instead of winning by competing with other players like most games, everyone must work together to win the game. Players take turns moving their pawns around the 'island', which is built by arranging the many beautifully screen-printed tiles before play begins. As the game progresses, more and more island tiles sink, becoming unavailable, and the pace increases. Players use strategies to keep the island from sinking, while trying to collect treasures and items. As the water level rises, it gets more difficult- sacrifices must be made.What causes this game to truly stand out among co-op and competitive games alike is the extreme detail that has been paid to the physical components of the game. It comes in a sturdy and organized tin of good shelf storage size. The plastic treasure pieces and wooden pawns are well crafted and they fit just right into the box. The cards are durable, well printed, and easy to understand. The island tiles are the real gem: they are screen-printed with vibrant colors, each with a unique and pleasing image.With multiple levels of difficulty, different characters to choose from (each with a special ability of their own), many optional island formats and game variations available, Forbidden Island has huge replay value. The game can be played by as few as two players and up to four (though it can accommodate five). More players translates into a faster and more difficult game, though the extra help can make all the difference. This is a fun game, tricky for players of almost any age. Selling for under twenty dollars, oddly, Forbidden Island is a rare game of both quality and affordable price. For those who enjoy Forbidden Island, a follow-up project by Gamewright titled Forbidden Desert was released in 2013.From the publisher's website:Dare to discover Forbidden Island! Join a team of fearless adventurers on a do-or-die mission to capture four sacred treasures from the ruins of this perilous paradise. Your team will have to work together and make some pulse-pounding maneuvers, as the island will sink beneath every step! Race to collect the treasures and make a triumphant escape before you are swallowed into the watery abyss!AlgemeenAantal spelers: 2-4Speelduur: 30 min.Leeftijd: 10+Taal:  NederlandsSoort spelType/Thema: Adventure, FantasyMechanisme: Action Points, Cooperative Game, Grid Movement, Hand Management, Map Reduction, Modular Board, Set Collection, Solo / Solitaire Game, Variable Player PowersMakersOntwerper: Matt Leacock]]>","boardgames","24.95","6","EUR","no","https://www.spelspul.nl/nl/54-het-verboden-eiland.html?gmc_currency=1","https://www.spelspul.nl/15651-home_default/het-verboden-eiland.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/54-het-verboden-eiland.html?gmc_currency=1","<![CDATA[White Goblin Games]]","24.95","8718026300388","WGG1101-uitloop","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#614.000000}"
"d197b3e4-4a64-402a-80e2-cbd06ea2eee2","<![CDATA[Jambo (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.From the back of the box (edited for grammar):""Jambo is the friendly greeting Swahili traders offered their customers in Central Africa before colonization.   The players are traders in this day, competing to be the first to earn 60 gold by buying and selling tea, hide, fruits, salt, silk, and trinkets.  The game is played with cards that allow players to buy and sell goods, help you or hinder your opponent, and others that add a bit of spice to the game.  Return to the dark continent where the players alternate turns with up to 5 actions each until one player reaches the goal and wins the game.""Original description from Games4You.Players take on the role of merchants offering their wares from market stands. On a player's turn, he has five actions to choose from. Actions can be used to draw cards, play cards, and activate buildup cards.In order to sell wares, the merchants must first lay the wares out, since customers will only buy where all the wares they want are being offered. And since market space is at a premium, players have to think hard about which wares to offer.By owning important buildup cards and properly using the assets of other village inhabitants, the merchants succeed in attracting especially many customers to their stalls, making bargain buys, and messing with their opponents' plans.The first player to reach a set cash level through buying and selling of wares is the winner.The game's attraction lies with the many special cards. Many different combinations are possible during the game, and each game plays out differently as a result.AlgemeenAantal spelers: 2Speelduur: 45 min.Leeftijd: 12+Taal:  NederlandsSoort spelType/Thema: Card Game, EconomicMechanisme: Action Points, Contracts, Hand Management, Set Collection, Take ThatMakersOntwerper: Rüdiger Dorn]]>","boardgames","19.95","6","EUR","no","https://www.spelspul.nl/nl/58-jambo.html?gmc_currency=1","https://www.spelspul.nl/15656-home_default/jambo.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/58-jambo.html?gmc_currency=1","<![CDATA[White Goblin Games]]","19.95","8718026300562","WGG1119-uitloop","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#600.000000}"
"517806bd-aa88-492e-be98-ecf45b251dd3","<![CDATA[Kahuna (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.""Who will rule the South Seas? Two Kahuna - ancient sorcerers of the Pacific - compete for dominance on an archipelago consisting of twelve small islands. Using their magic and wisdom, they struggle for control of the islands. They anxiously await the cards handed to them by fate. But when the time is right, they move to capture one, two, or even more islands, trying to gain the upper hand. At the mercy of the magical powers of the South Seas, they quickly realize that even the best magic is no good without strategy.""Originally published in 1997 as Arabana-Ikibiti by the designer's own publisher Bambus Spieleverlag, then reprinted by Funagain in the U.S., Kosmos' Kahuna – part of its Kosmos two-player series – is the best known implementation of this design.It's a two-player game, played on a board depicting twelve islands. Players use cards to place bridges between these islands or remove opponent's bridges. If you get the majority of bridges around an island, you place one of your marker stones on it and also remove any of your opponent's bridges to that island – which might cause them to lose a bridge majority on an adjacent island and lose a marker stone there.The game is played in three rounds. A round ends when all cards from the face down deck and the three face up cards have been taken. Then points are scored for the islands with a marker stone on them. The game can also end sooner when one player has absolutely NO bridges left on the board.The Kosmos edition has excellent graphics and nice wooden pieces and plays very well.Reimplements:     Arabana-IkibitiReimplemented by:     KanaloaAlgemeenAantal spelers: 2Speelduur: 30 min.Leeftijd: 10+Taal:  NederlandsSoort spelType/Thema: Abstract StrategyMechanisme: Area Majority / Influence, Hand Management, Network and Route Building, Open Drafting, Take ThatMakersOntwerper: Günter Cornett]]>","boardgames","19.95","6","EUR","no","https://www.spelspul.nl/nl/61-kahuna.html?gmc_currency=1","https://www.spelspul.nl/15658-home_default/kahuna.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/61-kahuna.html?gmc_currency=1","<![CDATA[White Goblin Games]]","19.95","8718026300968","WGG1302","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#250.000000}"
"38eb9716-e4b5-41bb-a28d-2e92fe633532","<![CDATA[Kwatro (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.IOTA is a card game in which players score points by adding cards to a grid. The deck consists of 64 regular cards and two wild cards; each of the 64 cards contains three properties – color, shape and number – with each property coming in four different types. The two wild cards are identical and can be played in place of any other specific single card. They can also be recycled by a player who can replace a wild card with a card that works in that position.To set up the game, each player is dealt a hand of four cards and one card – the ""starter"" – is placed face-up on the table. The remaining cards form a draw deck.On a turn you can add 1-4 cards connected to the grid established by the starter card. All cards must be placed in the same line. A line consists of 2, 3 or 4 cards in a row in which each individual property (color, shape and number) is either the same on each card or different on each card. You can also choose to pass and place some, none or all of your cards on the bottom of the draw pile and take new ones.Maximum line length is four cards. Cards needn't be placed right next to each other as long as they are in the same line, and some spaces on the grid will be impossible to fill.To score a turn, add up the face values of cards in lines either created or extended on that turn. If any of those cards are part of two lines, they're counted twice. If on a turn a player completes a line that is four cards long, all points for the entire turn are doubled. Double again for any additional four card lines created. Double again if you play all four cards on a single turn. A four-card line is called a lot.The game ends when the draw pile is depleted and one player plays his last card. Double points for that turn. The game is over. High score wins.AlgemeenAantal spelers: 2-4Speelduur: 30 min.Leeftijd: 8+Taal:  NederlandsSoort spelType/Thema: Abstract Strategy, Card GameMechanisme: Pattern Building, Pattern Recognition, Tile PlacementMakersOntwerper: Gene Mackles]]>","boardgames","7.95","6","EUR","no","https://www.spelspul.nl/nl/67-kwatro.html?gmc_currency=1","https://www.spelspul.nl/15664-home_default/kwatro.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/67-kwatro.html?gmc_currency=1","<![CDATA[White Goblin Games]]","7.95","8718026300913","WGG1233","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#160.000000}"
"11b8eef0-8003-43c3-b113-a08037e68098","<![CDATA[Lost Temple (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.In Lost Temple, the players are explorers looking for a mysterious lost temple. To find it, they must cross the jungle and get help from the indigenous people. The first player to reach the temple on the last space of the track wins the game.The game uses a character selection rule similar to Faidutti's Citadels, and the game includes nine different characters: Shaman, Thief, Seer, Priest, Elder, Craftsman, Scout, Canoe and Child.In the dense jungle of southeast Asia you must take your chances and start your journey. As an explorer, you will cross the jungle and ask help from the local people. But can you outwit your opponents and claim the discovery of the Lost Temple?AlgemeenAantal spelers: 2-8Speelduur: 40 min.Leeftijd: 10+Taal:  NederlandsSoort spelType/Thema: Adventure, Exploration, RacingMechanisme: Closed Drafting, Track Movement, Variable Phase OrderMakersOntwerper: Bruno Faidutti]]>","boardgames","19.95","6","EUR","no","https://www.spelspul.nl/nl/70-lost-temple.html?gmc_currency=1","https://www.spelspul.nl/15667-home_default/lost-temple.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/70-lost-temple.html?gmc_currency=1","<![CDATA[White Goblin Games]]","19.95","8718026300449","WGG1107-uitloop","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#763.000000}"
"4d66169f-2cbe-425e-8b14-76c5ece22f72","<![CDATA[Moddervarkens (NL)]]","<![CDATA[Van dit Nederlandstalige spel is momenteel alleen een Engelse beschrijving beschikbaar.Only a dirty pig is a happy pig!In Dirty Pig, first released as Drecksau, each player has 2-4 clean pigs in front of him and three cards in hand. Each turn one card is played. By playing a ""Dirty Your Pig"" card, one pig can be sent into the mud. One of the pig cards in front of you is flipped over to show a dirty pig on the back. Rain cards clean all pigs, even your own! Barn cards protect your pigs from the rain, while lightning cards destroy the barns – but lightning rod cards protect barns from lightning cards. Farmer cards are played to dirty someone else's pigs: the farmer likes clean pigs... Pigs in a barn that are protected with a barn door are safe from the farmer. A pig in a barn, with a door, and a lightning rod, is completely protected! The first player who dirties all of his pigs wins!Note that while Drecksau has a maximum player count of four, Dirty Pig contains additional cards that allow for play with up to six.AlgemeenAantal spelers: 2-4Speelduur: 10 min.Leeftijd: 7+Taal:  NederlandsSoort spelType/Thema: Animals, Card Game, Children's GameMechanisme: Take ThatMakersOntwerper: Frank Bebenroth]]>","boardgames","12.95","6","EUR","no","https://www.spelspul.nl/nl/73-moddervarkens.html?gmc_currency=1","https://www.spelspul.nl/15671-home_default/moddervarkens.jpg","https://track.adtraction.com/t/t?a=1509660190&as=1593318128&t=2&tk=1&gt=1&url=https://www.spelspul.nl/nl/73-moddervarkens.html?gmc_currency=1","<![CDATA[White Goblin Games]]","12.95","8718026300937","WGG1234","{google_product_category#<![CDATA[Speelgoed en spellen > Spellen > Bordspellen]]}{condition#new}{weight#130.000000}"
